dcterms:identifier,dcterms:image
aa448648-7703-4ae1-90fc-f5de06db8beb_011,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_012,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_013,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_014,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_015,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_001,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_002,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_003,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
b78756ff-e712-4f96-8474-8998bda931cd_001,https://agorha.inha.fr/ark:/54721/b4bad381-75ad-41e4-9cc4-e9bc4c5c8b5d/doc/f7346aa8-2dd2-4eef-aedc-51fd3dc2ce3c/original.jpg
b78756ff-e712-4f96-8474-8998bda931cd_002,https://agorha.inha.fr/ark:/54721/b4bad381-75ad-41e4-9cc4-e9bc4c5c8b5d/doc/f7346aa8-2dd2-4eef-aedc-51fd3dc2ce3c/original.jpg
